site,MYNamespaceID,MYObjectID,MZDateEdited,MYCollectionID,MYDatasetID[0],MYDatasetID[1],MYDatasetID[2],MYDatasetID[3],MYDatasetID[4],MYSeparatedFrom,MYStatus,MYDocumentLocation,MYLabelsVerbatim,MYVerificationStatus[0],MYNotes,MYDataSource,MYPreservation[0],MYLanguage,MYGathering[0][MYDateBegin],MYGathering[0][MYDateEnd],MYGathering[0][MYDateVerbatim],MYGathering[0][MYHabitatDescription],MYGathering[0][MYLatitude],MYGathering[0][MYLongitude],MYGathering[0][MYAlt],MYGathering[0][MYCoordinateSystem],MYGathering[0][MYCoordinateSource],MYGathering[0][MYCoordinateNotes],MYGathering[0][MYLeg][0],MYGathering[0][MYLeg][1],MYGathering[0][MYCountry],MYGathering[0][MYAdministrativeProvince],MYGathering[0][MYMunicipality],MYGathering[0][MYLocality],MYGathering[0][MYLocalityDescription],MYGathering[0][MYSamplingMethod],MYGathering[0][MYCollectingEventName],MYGathering[0][MYUnit][0][MYRecordBasis],MYGathering[0][MYUnit][0][MYLifeStage],MYGathering[0][MYUnit][0][MYSex],MYGathering[0][MYUnit][0][MYCount],MYGathering[0][MYUnit][0][MYNotes],MYGathering[0][MYUnit][0][MYIdentification][0][MYTaxonRank],MYGathering[0][MYUnit][0][MYIdentification][0][MYTaxon],MYGathering[0][MYUnit][0][MYIdentification][0][MYAuthor],MYGathering[0][MYUnit][0][MYIdentification][0][MYDet]
onkone,utu:ZMUT,,,HR.1648,,,,,,,Ok,,,,,,Pinned,english,,,,,-0.657139,-76.453,216.3,Wgs84,,,"Erwin, Terry L.",,Ecuador,Orellana Province,,Onkone Gare,,Other,,PreservedSpecimen,Adult,,1,,superfamily,Ichneumonoidea,,
tiputini,utu:ZMUT,,,HR.1648,,,,,,,Ok,,,,,,Pinned,english,,,,,-0.631944,-76.144167,220-250,Wgs84,,,"Erwin, Terry L.",,Ecuador,Orellana Province,,Tiputini,,Other,,PreservedSpecimen,Adult,,1,,superfamily,Ichneumonoidea,,
